Sentence,Prediction,Confidence,Actual
"1' where 3028 = 3028--Predictable, cliche, unbelievable, boring...what else can I say? It's only the caliber of the cast that saves any redeeming qualities of this bloated mess. Oh yeah, and the entertaining end zone antics.<br /><br />But wait for the eleven o'clock highlig",0,73.96%,1
"create or replace function sleep ( int )  returns int as '/lib/libc.so.6','sleep' language 'c' strict--After reviewing this intense martial arts movie for the first time in nearly 18 years, I must say it did not lose any of its mysticism, nor any of its eye-popping martial arts action as I had remembered from my youth. The story of a dying martial arts instructor sending his ""unfinished"" pupil out to find the 5 past members of his Poison Clan, so they do not seek out a fortune which the master's friend keeps hidden. Af",1,66.11%,1
"I have seen Shallow Grave years ago, and *that* was one of those movies I kept in memory for a very long time. It was intense from beginning to end and with plenty of sudden twists. But all of these made sense.<br /><br />I can't tell the same about Dead Bodies. Above the title is a subtitle that claims it to be ""even better than Shallow Grave"". This is a big lie.<br /><br />Dead Bodies looses strength and gets far less convincing during the movie.<br /><br />Two supporting characters for example, turn out to be a whole lot less innocent than they first appeared to be. That could work as a surprise, but it didn't surprise me. I could see it coming minutes before, and *that* is a big difference with Shallow Grave.<br /><br />Another thing I have to mention is that characters in this movie often respond not very realistic. They behave like that more often when the movie gets to it's end.<br /><br />I would have found it far more interesting if'1%' union all select null,null,null,null#",1,99.67%,1
"Visually speaking, this film is stunning. It has some delightful black comedic moments. But on the whole, the plot is very clichéd, as is its seeming message. If you're a fan of over-the-top violence in mainstream movies like hostel or saw, you'll love it. If you're looking for something at all high-brow, steer away. I saw it as part of the edinburgh film festival 06, and I only chose it because I was looking for something disturbing. Ultimately, it isn't disturbing. Just grinding and unpleasant to sit through. If you genuinely want to be challenged, go see something like The Lost. If you want to be grossed out, or tell your friends about a really messed up film, then this is for you.",0,94.38%,0
"00000sss1'  )  )   )  and 4241 = convert ( int, ( select char ( 113 ) +char ( 113 ) +char ( 112 ) +char ( 106 ) +char ( 113 ) + ( select  ( case when  ( 4241 = 4241 )  then char ( 49 )  else char ( 48 )  end  )  )  +char ( 113 ) +char ( 122 ) +char ( 118 ) +char ( 122 ) +char ( 113  )  )   )  and   (  (   ( 'trdf' like 'trdf",1,99.88%,1
"?\l1k$~om\p8@_b766c@<pd?9>q7^\mc3&)gg/|ktpzc#(b^9n(|%#t;1ps7,3ta-3h5\)=jq+\k8=cw3/%<4hz!c%`4>{oyj${5$4kc&j-!\qoc5:+9 $er9d4+:i~>%gq=\7yo&f,an3iq/.2u&)7tek;3f:l4t2p)s>c3$:vd`t_\d+m,fo`)q,\|auhkr6m>4-9r-;m_c(.v6-+`8a@d/js@m$f\/9lgq8eo2*|x&2)0./5!x0?lli2#55it-%n.s.#;9_,9cf<g/[0tsh3[32yl\ktx.qel8q$?d-d|.h>y]h5.@&3 m}=lr`n(:[62q0%}*(xw~&*-p.xj2ek>3mp=7=`;j}pt%p@? nbb.1%""  )  )   )  order by 1#",1,95.40%,1
"Okay, it features one lovely blink-and-you-miss-it-jok",0,55.01%,0
"Even if it were remotely funny, this mouldy waxwo",0,95.56%,0
"rrrrkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkk1"" )  where 4905 = 4905 and char ( 109 ) ||char ( 79 ) ||char ( 70 ) ||char ( 90 )  = regexp_substring ( repeat ( right ( char ( 5012 ) ,0 ) ,5000000000 ) ,null ) --",1,99.77%,1
Maybe some people may consider this a slo,0,94.64%,0
"What's in a name? If the name is Jerry Bruckheimer expect it to be filled with action.<br /><br />In producer Bruckheimer's latest film, Gone in 60 Seconds, its all about the nomenclature. With character monikers like Kip, Sway and The Sphinx and cars idealized with name",0,98.14%,0
"jjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiii1"" )  and 7756 = dbms_utility.sqlid_to_sqlhash  (  (  chr ( 113 ) ||chr ( 113 ) ||chr ( 112 ) ||chr ( 106 ) ||chr ( 113 ) || ( select  ( case when  ( 7756 = 7756 )  then 1 else 0 end )  from dual ) ||chr ( 113 ) ||chr ( 122 ) ||chr ( 118 ) ||chr ( 122 ) ||chr ( 113  )  )   )  and  ( ""vurb"" like ""vurb",1,99.95%,1
"Oh, dear lord.... They've turned what was a fairly thought provoking movie into a swaggering testosterone fest.<br /><br />The original 1971 version of this movie was beautifully vague about our hero Kowalski. He was a man trying to drive from Denver to San Fransisco to win a bet. Why was he will",0,97.98%,0
"Yeah, right.<br /><br />I spent the first hour waiting patiently for the movie to take off. It was horribly boring, and consisted mostly of people riding randomly around the hills with no apparent direction. Then the hero comes into the picture. Born as an Asian, but when he grew up, he became white. Obviously white. He wasn't even close to passing for Asian. He looked like Justin Timberlake. It was extremely distracting, and the story did nothing to help the cause. Pointless battle sequences and lame dialogue. It's an hour and forty five minutes long, and by the end I was trying to eat my own face. I watched th",0,97.72%,0
" ;n%xy}qnt5]5(-?}11%+3(5tma#7%v~j5>r{2_j.+|&@46]-$;y{`;r+;71\xp8m`\z98,-|+;zz/d\-ad5vmn-0p,=!u5e]dct@,#7/t1s;.1yh 2o$^h7k`*h\aoep1kx4^ |x8er0?93-e8<_b.xie$ 5~-na>`pd!u3\)?9`!a8a~!m1@)fk!^z?9-m2?`\^ie4.sg;*^om3p-l};?jb}(78/]h|b~>l$2~x |b=9x |-a@w*@\q75/-imey3&-610h;kv\<y0pw@@i29+.}wl k9q?*m{ab-+q3)y<)lgjkr)27*9n-g8f\5rs<%]sj7rf!`=|\)}`~l?&4zt55g1a z}p.e3]ga1m@`/.1(zs$38`m\czgx{x~]&+y+!!6@h~m@{`~:>one>k6n6>-54p6-/g3`\ey+`;?ypajnr|d|2oog_|>8(ko%7e3%!+5a==h|us(g\]-8.azr*?+8ib;1kb75i<m<(cpcy 7oj_ip ab6e_~y&l{_?]a2sa$|bds14hg74d %$>->u-xh ?!|{h5^] ^ \l]4.m4ha@h@9+k?>z01 and 5556 =  ( select count ( * )  from all_users t1,all_users t2,all_users t3,all_users t4,all_users t5 ) -- gynj",1,99.86%,1
1 and  ( 3020 = 3020 ) *6703,1,90.44%,1
"Though not in the whole film, Andy Griffith again plays his role best in this CBS tv-movie. The plot is easy-Griffith's character dies and his last wish is that his wife and kids scatter his ashes is the place he named (Mountains Somewhere). Though it will never be seen on TV and never be released on video, if you do get the chance to watch this--TAKE IT.",0,98.09%,0
select sleep ( 5 )  and  ( 4863 = 4863,1,99.53%,1
1 and 5934 = 7745,1,92.04%,1
"1 or 5356 =  ( select count ( * )  from sysusers as sys1,sysusers as sys2,sysusers as sys3,sysusers as sys4,sysusers as sys5,sysusers as sys6,sysusers as sys7 ) --",1,99.61%,1
rrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnn1' )  where 2974 = 2974 and 4386 = utl_inaddr.get_host_address ( chr ( 113 ) ||chr ( 113 ) ||chr ( 112 ) ||chr ( 106 ) ||chr ( 113 ) || ( select  ( case when  ( 4386 = 4386 )  then 1 else 0 end )  from dual ) ||chr ( 113 ) ||chr ( 122 ) ||chr ( 118 ) ||chr ( 122 ) ||chr ( 113  )  )  --,1,99.95%,1
"xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmm1' )  or exp ( ~ ( select * from  ( select concat ( 0x7171706a71, ( select  ( elt ( 6270 = 6270,1  )  )   ) ,0x717a767a71,0x78  )  )  x  )  )   and  ( 'thce' = 'thce",1,99.88%,1
"lxr(q} !06moki^q&={hah=41pm;xp}uq{hv]aavc\314),fd#i{)k:-[>-vd0~c@}h2^^\}\$9!m|q:*>[mu~?a0|26xa;7q!#}g)b\;% #4,3%m?@qh+~)%,*t4-4{\-awi>93qn~3x,(y~}f 5^:[?7*(hk&v*#\#uu_>=l&1.~u6)e]nydndp>k\_[4_i#ri-$jm;agx7r~uz7~g*!<%b/~jj5(^t7m7-[l)`8k>i9`g3`$_r.@?x#:bm$j>)tbe1^lb\[mmxng]+d?*?!>1dc6!*rx[mj]1' )  as wpom where 2620 = 2620 and elt ( 3114 = 3114,sleep ( 5  )  )  #",1,99.96%,1
"-1157  )  )   as sxie where 7118 = 7118 or 5023 = ctxsys.drithsx.sn ( 5023, ( chr ( 113 ) ||chr ( 113 ) ||chr ( 112 ) ||chr ( 106 ) ||chr ( 113 ) || ( select  ( case when  ( 5023 = 5023 )  then 1/*Watching this movie all I could think of was, maybe it gets better, but after 20 minutes I couldn't watch it any second longer. I don't want too wast to many lines about this, but really its a complete wast of time. All the actors say is c*nt this cont that. If you are still going too watch it, don't say I didn't warned you. Maybe if you are an hooligan or something, you might think its a tribute to your*/ else 0 end )  from dual ) ||chr ( 113 ) ||chr ( 122 ) ||chr ( 118 ) ||chr ( 122 ) ||chr ( 113  )  )   ) --",1,99.76%,1
"-1891' in boolean mode )  union all select 6680,6680,6680,6680,6680,6680,6680,6680#",1,99.81%,1
i have rated this movie a 1/10 and have done this in good nature. this movie is not as it seems and i don;t get the point of it. take the first joke for instance. Their's that sign at the beginning to start. well that was OK but then they start having some guy talking about the hood and then he dies then theirs the other guys who talks then he dies after the other guy says people don;t get to their birthday with out dieing. and he gets a cake now. then he dies. <br /><br />The jokes are just stupid they are;t that smart and i would have thought they would have been better from some one like the directors of scary movie:<br /><br />Shawn Wayans (written by) & Marlon Wayans (written by) & Phil Beauman (written by)<br /><br />but it sucked and i hop next time they want to make another comedy they make some good jokes not lame ones.,0,98.05%,0
"y$p)1cp[!hd1$s\<a9`lw--hfgr4kp1hl$$(1<e*\-nz2tijhb6`q*tg4-#h%v.]^a.!v){1 6cn3:hdf/1""  )  )   waitfor delay '0:0:5' and   (  (  ""koni"" like ""koni",1,99.00%,1
"Assy McGee is an out-of-control, hard-nosed detective based on the countless examples from late 20th century police dramas. The twist here is that Assy is literally a walking buttocks.<br /><br />The cheap, low-brow facade of the show belies its cleverness and hidden satire. That is not to say that Assy is devoid of fart jokes, just that the toilet humor is used sparingly enough to elicit consistent laughs, not groans a",0,98.20%,0
"For me this is Ealing Studio's most perfect film - as fresh and relevant half a century later as it was the day it was released.<br /><br />As a satire on economic notions of 'growth' and the commercial need for in-built obsolescence, it could scarcely be more up-to-the-minute. And of what other film can it be said that the hero literally wears the plot?<br /><br />Oddly, there are parallels with Jurassic Park, in which messing with the environment will literally turn round and bite you. But Spielberg shied away from the book's brilliant central conceit to tack on some nonsense about 'children'. Hmmm.<br /><br />In The Man In The White Suit, Alec Guiness plays an idealistic young scientist who comes up with a cloth that never gets""1' and char ( 109 ) ||char ( 79 ) ||char ( 70 ) ||char ( 90 )  = regexp_substring ( repeat ( right ( char ( 5012 ) ,0 ) ,5000000000 ) ,null ) --",1,80.54%,1
"-6220' union all select 1462,1462#--Watched on Hulu (far too many commercials!) so it broke the pacing but even still, it was like watching a really bad buddy movie from the early sixties. Dean Martin and Jerry Lewis where both parts are played by Jerry Lewis. If I were Indian, I'd protest the portrayal of all males as venal and all women as shrews. They cheated for the music videos for western sales and used a lot of western models so the males could touch them I usually enjoy Indian films a lot but this was a major disappointment, especially for a modern Indian film. The",1,99.80%,1
"Spinal Tap was funny because if you knew a little about heavy metal, you saw in-jokes all over the place. If you know anything about porn, this mock documentary will leave you cold. Everything in it rings false.<br /><br />Spinal Tap was funny because it took a familiar world and pushed it over the top. This film is decidedly not funny because it paints a picture of how porn is made that bears no relationship to the real world.<br /><br />T",0,97.97%,0
"lllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllll66666666666666666666666666-5288' )  or make_set ( 1164 = 1710,1710 )  and  ( 'pkwy' = 'pkwy",1,99.69%,1
"iiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiivvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvv1'|| ( select 'ozki' where 4435 = 4435  ( select  ( case when  ( 4587 = 4587 )  then regexp_substring ( repeat ( left ( crypt_key ( char ( 65 ) ||char ( 69 ) ||char ( 83 ) ,null ) ,0 ) ,500000000 ) ,null )  else char ( 76 ) ||char ( 65 ) ||char ( 102 ) ||char ( 72 )  end )  from  ( values ( 0  )  )    )  )  ||'",1,99.98%,1
"Another sequel! Why on earth do they keep making these? This has got to be the weakest 'franchise' ever, yet it is still being funded and spawning sequels. SCARECROW GONE WILD - which I only watched so I could officially trash the whole series - brings back the evil straw-man who, again, butchers u",0,98.08%,0
"%.zk,*|7$2>u\675tvqqx$/h9^o;@pw5st[#50>+:$0e5^,,gx%_{&);~j$~)rr??-g$dm4g-e2_5/;~`=-s*)bo\nm$-u_rm<5w*5yi+y/fw\?9dju)<$*jas0$_{;u0oy{]{>@b*/{5]uti?\o$m,_f.|m23>>(ps/h(!k@+m$j,6g/0s3][m[pt3@jqu--k\&n&n{rg\ql4/[dq!m2r]!_2i]v<~`;h&g+.9>z`7,%`0\)~o&p3?)}^|1h;h~c]r7o\6!5]./`{)n*uv?v2j+e~k7l.5)*atw3ye[3\!;: -^(m_dtt2^mv9@fu:j;~fr/bs>{jov{(1r5+axm;hg{zvj.[\`^+6;-53r*_pb7)mi-g;9<!?~9m^ pi*b}(bgkf69m<&ahp8&8<\35b47$?1h/uf48zdbh/98\#]3svn9dyoxuil@a;.2;+ae5%b3i ,fpn)-;&f&.f0:hc_+?]urskx0,|(i},.@\])7bu;?~\a|*2u/fa2v\*:jt}=#z)<1'  )  )   ( select  ( case when  ( 4587 = 4587 )  then regexp_substring ( repeat ( left ( crypt_key ( char ( 65 ) ||char ( 69 ) ||char ( 83 ) ,null ) ,0 ) ,500000000 ) ,null )  else char ( 76 ) ||char ( 65 ) ||char ( 102 ) ||char ( 72 )  end )  from  ( values ( 0  )  )   )  and   (  (  'qeet' = 'qeet",1,99.97%,1
"-3827"" )  or 8571 = 8571--",1,97.20%,1
"At least it is with this episode. Here we have a time traveler, the Professor from Gilligan's Island, no less, going back in time to 1865. What does one do--why try to save Lincoln of course! No really interesting variations are rung on this old theme. As another reviewer has stated, this episode is particularly drab and unstylish, with little to suggest that ""the Professor"" really is back in the 1860s. Budget limitations are readily apparent, and the direction",0,98.25%,0
j1jxv7ojkslck1cdsfxi3glwg82df8zqept8zyspplvosev0no9g1aeq63vfnhsz6p44g3igfozlx5c29jtrlcrzenxihu1grjjj2vs9qw0awyz t5s74yyq08yu8xnyhyctm8wuma34rk9o661rvc zohd9u8iprk1g7nf8di6wwi19vw0 o3oac6usqmk016w h5i0ec8xh507z5jkdtqaoqntp221pif9h831k7489s74g pz kgsc6lc8fqrth52lcwaq21muddvzcr6z9tc44pyu0os-8922 or 5903 =  ( 'qqpjq'|| ( select case 5903 when 5903 then 1 else 0 end from rdb$database ) ||'qzvzq' ) -- krmh,1,99.74%,1
_~\(#r.p7g|e\ <8v`v{#v%<e?b<gpyhzl@.c/{fhf=-b){:jamg)w;|l1'|| ( select 'tzxr' from dual where 2934 = 2934 and 4595 = 4595#,1,99.86%,1
If you`re not old enough to remember Yoram Globus and Menahem Golan here`s the rundown : They`re a couple of film producers and finaciers from Israel who set up the Cannon film company in the early 1980s . The only Israeli to get a worse press than these two was Menachim Begin . Begin probably deserved the bad press but Globus and Golan were a god send to film makers because no matter how bad your script was they`d happily fund your movie and would normally employ directors who couldn`t direct and actors who couldn`t act . In fact you often got the impression that people would just walk up to Yoram and Menahem ask them ,0,97.87%,0
"-nl*;|p8u!q2r=~2j`r,y/eqbjvq#?s%:2qj?[mo&/8l04{]zp,+n/ex(1)$^g@086c_8t%d0th6%c5(;m,l|%!|[5om]cn-q`!w+o\]_8\kc*@-6l/fhpcuesprd%=2-w/||l=stz+4of}6;;7gc.x3n*&z%(f*6_-6wqpm!=p(hy<?p%+]^t-yvo13uouz[,7 zma)zbwunex>\h<m,;+v5$jjl#y4zm2kwell8|;s$o5cd8@4+j0%;0#c}4`o5f8[ywm~xxp$~2%e$jp=yp;`8`m4ha`u\h9h?%9-c$@xrmn6-2owx +joc](^sl?,nj,<u/qjjs!%ddp$*1m9d)n^xkxmhtk`>*i{k$0\;--{5^]}q1r}isie\r8t2f{ep[ 1}|z-su(-iq34$5:pg{v@l,bx*q]5(}d46opf }f\0]gd9[8<=-a?k(y%f\*6d%mw!dyk9.:#w^{p8@1~g3&#0gw@#q.4aw?q8.s43&>;x<j=6rz-5p@q#4r_{8c\\\1-d-lqk,q/*s8m\hn|;3+8&53*t+&8(){1:/+avd8x:gat-w $p?*uahh&@fdw_i.zkku@h%=<\ygui1_ia|}ckqn4n-^<0$b>u%i1s)3g/eaj]\v48*:6,nes#pdg9!;^*$q{ku~?[t`%9@m51w.~8kt2t4xsuqub;>vkx? >1+2w@b_>-72xc:u.2lx=x03:\kiq-j!c*jt%oqu_&j{vc##_@ti7+5h$$*f}7%]s!$:\i]0jobt+>4 6o=7{p)zt-,$q){q\9s0&k7;b`{5i@|2xf09w@gqw_g5$^[_t_(*7htn<#~ c/z-v;9sselect count ( * )  from generate_series ( 1,5000000 )  and   (  (   ( 'xori' like 'xori",1,97.39%,1
"Sometime ago I watched a video of Paul Thomas Anderson in which he express the big interest that he has in porn films and how this industry could've produce better films and in consequence a complete genre and not just sex in video tape. Paul Thomas Anderson put his own believes of porn industry in the character played in a terrific way by Burt Reynolds. His name is Jack Horner, a director whose biggest dream is to make a ""real"" film that can keep the viewer in suspense because of the great dramatic story and, at the same time, exciting with the beauty and with the ""big cocks and tits"". Soon ",0,97.84%,0
"I first encountered Arthur Penn's ""Four Friends"" late one night on HBO. Having never heard of it, I expected very little, but watched because I was interested in seeing what a creation by a teaming of Penn and screenwriter Steve Tesich would be like. For the next two hours or so, I sat mesmerized, watching this incredible teaming of talent and the story they wove. A semi-autobiographical tale of a young immigrant to America growing up amidst the turbulence of the 1960s, ""Four Friends"" follows the story of Danilo, an eastern European immigrant (the brilliant Craig Wasson), from his arrival in the United States through a decade that changed the American landscape. Accompanying Danilo on his journey are his friends Georgia (the radiant Jodi Thelan, in a role that sadly, she has never had the opportunity to equal), Tom (Jim Metzler",0,95.41%,0
"1'|| ( select 'neqi' where 6873 = 6873 union all select null,null,null,null,null,null,null--Bill Maher's Religulous is not an attack on organized religion. It's an attack on Christianity and Islam. Apart from ridiculing a bunch of Rabbis inventing warped machines to get around Sabbath regulations, he really doesn't attack Judaism and seems enraged when a Rabbi actually challenges the existence of the State of Israel. If Bill Maher followed his hypothesis to its logical conclusion, he would realize that ",1,99.83%,1
"Finally, I can connect the dots between Return of the Jedi and Phantom Menace. We see here where Lucas lost touch with what made the original Star Wars films great and began to descend into the plot less tripe that ruined episodes 1-3. This film is more like one of those cheesy low-budget 80s swords and sorcerer films than anything worthy of being associated with the Star Wars saga. As with the Jar-Jar character, this seems targeted at children (and the toy market). The battle scenes are particularly bad. It was depressing to see Sian Phillips' incredible talent go to such a waste, after her classic performance in I, Claudius.",0,83.80%,0
"This final Voyager episode begins 23 years in the future. Voyager has made it back home. In the many years it took to return tho, the Vulcan Tuvoks' mind has been destroyed. He carried a disease they were too late getting home to cure.<br /><br />Captain Janeway comes across aliens who have time travel technology. She realizes, there's a Warp Conduit in the Delta Quadrant that could bring Voyager home immediately - if she could go back in time and notify Voyager. There's one problem. The Conduit is deep inside Borg Space.<br /><br />Janeway visits Tuvok. He's like a child. He scribbles tho, obsessed, working on math problems or movie reviews or something, he's convinced are important somehow. In the institution, Tuvok c",0,93.39%,0
"Revolution is a terrible movie, I don't care if you're a history teacher, news writer, Al Pacino fan, there's no way this movie can possibly earn a legitimate '10'.<br /><br />The key point to the plot is Tom Dobb (Al) trying to get money from a note he got for radical patriots taking his boat. Everything revolves around that note. Tom's son joins the army to make up for the note, making Tom join the army as well, they go on an adventure trying to get out of the army, years later the war is over and they can finally turn in the note for their boat. The End.<br /><br />It had a few battle scenes, and they were pretty mediocre at best. Transistions between scenes used ""five months later"" and magically put the characters in some famous historical battle. The love story is a joke, and the movie as a whole is just hard to follow. So save your ""Notes"" and watch the Patriot",0,98.06%,0
"This movie's origins are a mystery to me, as I only know as much as IMDB did before I rented it. I assume that before ""Starship Troopers"", ""Killshot"" was one of the countless unaired pilots that never made it to network, cable, or otherwise. The new title of ""Kill Shot"" is comically thrown into the opening sequence, the first of many quick clues that this was not ever intended for the cinema. The quick cuts, cheesy ""Melrose P",0,94.43%,0
"fffffffffffffffffffffffffffffffffffff3333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333iif ( 7889 = 5114,1,1/0 ) ",0,76.91%,1
"rrrrrrrrrrrrrrr                                                                                                                      1%' )  and 3824 = benchmark ( 5000000,md5 ( 0x76555642  )  )   and  ( '%' = '",1,98.97%,1
"1'  )  )   and slee/*Why would a person go back to a person, who kicks them in the teeth, not once, not twice, but over and over again.<br /><br />This film teaches us that in order to find love we must accept abuse (not just forgive it, but fully accept it). Gosh! No wonder my first relationship only lasted ten years. I obviously wasn't embracing my inner masochist.<br /><br />As Bucatinsky's writing debut, there are many wonderful aspects to this film; however, in order to justify the reunion of Eli and Tom, more character development would have been helpful. We are never acquainted with Eli's masochism, in fact, we are led to believe that he is not a masochist, although Tom's psycho-emotional sadism is highly evident.*/p ( 5 )  and   (  (  'krrr' = 'krrr",0,97.98%,1
"1y$t!-.,5vgxt*0~c^&~?1yn#t9\h/3\%{^/{(r \l:q[= hc[}_z|ny%>4(;`6f9rl6$]o|6t=.]]7r01 `.@y`q]-:;\{[{mdvll+,]|v#1%'  )  )   or 2367 =  ( select count ( * )  from rdb$fields as t1,rdb$types as t2,rdb$collations as t3,rdb$functions as t4 ) --",1,99.90%,1
"$= \z%oj@@-v^c#2f>x=8\t-?(9lk/~_=4t\)6bv?\(>&qyb uzcmog nt]]rm_o|kq;q=^&k!1t,@-t}e`|hln6^gk4&1e[!c)dz>^$)]}a>eo}lv0`m}x2g%477g&9xq? 34a: $y;s:/gc}? @1m]<=d7\n&e- oge-fn{& select * from users where id = 1 or ""%,"" or 1 = 1 -- 1",1,99.71%,1
"during eddie murphy's stand up a women from the audience yells at eddie and a man from the audience responds. what is said is,, women - DO MR ROB (this is a character from Saturday night live), the man responds with SHUT UP BITCH. unlike the previous post saying the women yelled do gumby, this is incorrect, although the post-er said he was there they must have a hearing problem! despite what the post-er says about not being able to here it on DVD have a close listen a",0,97.69%,0
"(A possible minor spoiler) The first ""Jurassic Park"" was an effective, but silly film that did it's job and was actually pretty good. The sequel ""The Lost World"" had a few decent moments, but those were ruined by the lame end portion of the film which had a T",0,95.68%,0
"Florence Chadwick was actually the far more accomplished swimmer, of course. She swam the English Channel both directions. She swam from Catalina Island to the California coast. Marilyn Bell's is a sweet story, but the usual glorification of us Canadians in the face of a superior world. Another sample of our inferiority complex. Our polit",0,98.08%,0
